segment_index,phase,start_x_map,start_y_map,start_z_map,end_x_map,end_y_map,end_z_map,duration_s,hazard,terrain_clear,heading_change_rad,allowed_heading_change_rad,turn_valid,altitude_loss_m,required_altitude_loss_m,altitude_valid
0,powered,-8.0,0.0,0.0,0.5,2.9999999980759777,1.6630045328951102,41.247006889154186,0.0,True,0.0,0.0,True,-166.300453289511,0.0,True
1,virtual,0.5,2.9999999980759777,1.6630045328951102,1.0,3.0,1.6,2.25,0.0005092111955823422,True,0.33929261425276236,0.5734603717509607,True,6.30045328951101,5.0,True
2,glide,1.0,3.0,1.6,2.0,4.0,1.4000000000000001,6.3639610306789285,0.00013404335119946982,True,0.7853981633974483,1.621990870427451,True,19.999999999999996,14.142135623730951,True
3,glide,2.0,4.0,1.4000000000000001,3.0,3.0,1.2000000000000002,6.3639610306789285,0.004791621417800958,True,1.5707963267948974,1.621990870427451,True,19.999999999999996,14.142135623730951,True
4,glide,3.0,3.0,1.2000000000000002,4.0,4.0,1.0,6.3639610306789285,0.0010403570698572292,True,1.5707963267948974,1.621990870427451,True,20.000000000000018,14.142135623730951,True
5,glide,4.0,4.0,1.0,5.0,4.0,0.9,4.5,0.00030070629708201104,True,0.7853981633974483,1.1469207435019213,True,9.999999999999998,10.0,True
6,glide,5.0,4.0,0.9,6.0,3.0,0.7000000000000001,6.3639610306789285,0.004222416760416554,True,0.7853981633974492,1.621990870427451,True,19.999999999999996,14.142135623730951,True
7,glide,6.0,3.0,0.7000000000000001,7.0,2.0,0.5,6.3639610306789285,0.002680805758593574,True,0.0,1.621990870427451,True,20.000000000000007,14.142135623730951,True
8,glide,7.0,2.0,0.5,8.0,1.0,0.30000000000000004,6.3639610306789285,0.0023945209143211047,True,0.0,1.621990870427451,True,19.999999999999996,14.142135623730951,True
9,glide,8.0,1.0,0.30000000000000004,8.0,0.0,0.2,4.5,0.0011722676741700566,True,0.7853981633974474,1.1469207435019213,True,10.000000000000004,10.0,True
