profile,algorithm_variant,source,resolution_m,status_counts,successful_repetitions,T_SSE_median_s,T_Bellman_median_s,peak_rss_median_bytes,N_S_cart,N_S_active,N_E,J_A,J_D,deterministic_solution_identity,all_completed_replays_pass,all_completed_exactness_checks_pass
spatial_25p0m,local_sse,reused_stage14_2c_cold_process_rows,25.0,"{""completed"": 3}",3,83.61501760000101,9.149251099806861,208605184.0,3243240,1106702,29025128,7.1945895064610585,0.9999991723787202,True,True,True
spatial_100p0m,local_sse,reused_stage14_2c_cold_process_rows,100.0,"{""completed"": 3}",3,18.944844600002398,0.925727799985907,71933952.0,66096,5146,38861,63.86782470065451,1.0,True,True,True
spatial_50p0m,local_sse,reused_stage14_2c_cold_process_rows,50.0,"{""completed"": 3}",3,62.18842560000485,3.576901399756025,82272256.0,444312,93668,2206428,72.13139995237101,1.0,True,True,True
spatial_25p0m,global_oracle,reused_stage14_2c_cold_process_rows,25.0,"{""completed"": 3}",3,97.54365420000249,10.935934300272493,209715200.0,3243240,1106702,29025128,7.1945895064610585,0.9999991723787202,True,True,True
spatial_100p0m,global_oracle,reused_stage14_2c_cold_process_rows,100.0,"{""completed"": 3}",3,23.37459410000156,1.0554243999358732,71421952.0,66096,5146,38861,63.86782470065451,1.0,True,True,True
spatial_50p0m,global_oracle,reused_stage14_2c_cold_process_rows,50.0,"{""completed"": 3}",3,75.84755659999792,4.415814200008754,86007808.0,444312,93668,2206428,72.13139995237101,1.0,True,True,True
spatial_33p333333333333336m,local_sse,new_stage14_3_cold_process_rows,33.333333333333336,"{""completed"": 3}",3,59.250375400006305,5.068821999870124,122396672.0,1411200,411558,12568973,67.61603334794576,1.0,True,True,True
spatial_33p333333333333336m,global_oracle,new_stage14_3_cold_process_rows,33.333333333333336,"{""completed"": 3}",3,76.26154629999655,6.227201699759462,125317120.0,1411200,411558,12568973,67.61603334794576,1.0,True,True,True
spatial_20p0m,local_sse,new_stage14_3_cold_process_rows,20.0,"{""completed"": 3}",3,40.34719100000075,4.21966849976161,338145280.0,6216912,170264,2498108,0.3130444517693126,0.20388511678312862,True,True,True
spatial_20p0m,global_oracle,new_stage14_3_cold_process_rows,20.0,"{""completed"": 3}",3,305.68122199999925,37.15451450006367,340697088.0,6216912,170264,2498108,0.3130444517693126,0.20388511678312862,True,True,True
spatial_16p666666666666668m,local_sse,new_stage14_3_cold_process_rows,16.666666666666668,"{""completed"": 3}",3,360.1183155000035,40.524962500123365,538992640.0,10608696,3883625,77654144,0.29812053407121986,0.20692958228904723,True,True,True
spatial_16p666666666666668m,global_oracle,new_stage14_3_cold_process_rows,16.666666666666668,"{""completed"": 3}",3,473.1418030999994,57.48892790003447,539766784.0,10608696,3883625,77654144,0.29812053407121986,0.20692958228904723,True,True,True
spatial_14p285714285714286m,local_sse,new_stage14_3_cold_process_rows,14.285714285714286,"{""completed"": 3}",3,246.65928500000155,25.569633500148484,822476800.0,16695072,529888,7283021,0.30973128763458896,0.20684149654063252,True,True,True
spatial_14p285714285714286m,global_oracle,new_stage14_3_cold_process_rows,14.285714285714286,"{""completed"": 3}",3,377.70348039999953,46.75878730001568,813649920.0,16695072,529888,7283021,0.30973128763458896,0.20684149654063252,True,True,True
spatial_12p5m,local_sse,new_stage14_3_cold_process_rows,12.5,"{""completed"": 3}",3,452.4958153999978,57.56872310011386,1187680256.0,24752520,9296031,149930755,0.2903355890260841,0.19401557244670606,True,True,True
spatial_12p5m,global_oracle,new_stage14_3_cold_process_rows,12.5,"{""completed"": 3}",3,436.6812737,59.85751009962405,1189425152.0,24752520,9296031,149930755,0.2903355890260841,0.19401557244670606,True,True,True
spatial_11p11111111111111m,local_sse,new_stage14_3_cold_process_rows,11.11111111111111,"{""completed"": 3}",3,248.3826043999943,31.379134300317673,1649004544.0,35057520,1117557,13468167,0.300021207924408,0.19117587840397765,True,True,True
spatial_11p11111111111111m,global_oracle,new_stage14_3_cold_process_rows,11.11111111111111,"{""completed"": 3}",3,591.6508863999916,87.35325000007288,1667764224.0,35057520,1117557,13468167,0.300021207924408,0.19117587840397765,True,True,True
spatial_10p0m,local_sse,new_stage14_3_cold_process_rows,10.0,"{""completed"": 3}",3,295.37616400000115,36.7199851999394,2235019264.0,47886552,1313618,15012298,0.28817767289340535,0.1926998964176631,True,True,True
spatial_10p0m,global_oracle,new_stage14_3_cold_process_rows,10.0,"{""timeout"": 3}",0,,,,,,,,,False,False,False
spatial_9p090909090909092m,local_sse,new_stage14_3_cold_process_rows,9.090909090909092,"{""completed"": 3}",3,290.30915399999503,36.166642300049716,2965921792.0,63516096,22811454,289522510,0.19792326893913914,0.030208380107361175,True,True,True
spatial_9p090909090909092m,global_oracle,new_stage14_3_cold_process_rows,9.090909090909092,"{""timeout"": 3}",0,,,,,,,,,False,False,False
spatial_8p333333333333334m,local_sse,new_stage14_3_cold_process_rows,8.333333333333334,"{""completed"": 3}",3,386.6533158999955,49.48306179995416,3822997504.0,82222632,1228124,12405884,0.28477897596533963,0.1875871969971805,True,True,True
spatial_8p333333333333334m,global_oracle,new_stage14_3_cold_process_rows,8.333333333333334,"{""timeout"": 3}",0,,,,,,,,,False,False,False
spatial_7p6923076923076925m,local_sse,new_stage14_3_cold_process_rows,7.6923076923076925,"{""memory_limit"": 3}",0,,,,,,,,,False,False,False
spatial_7p6923076923076925m,global_oracle,new_stage14_3_cold_process_rows,7.6923076923076925,"{""memory_limit"": 3}",0,,,,,,,,,False,False,False
spatial_7p142857142857143m,local_sse,new_stage14_3_cold_process_rows,7.142857142857143,"{""memory_limit"": 3}",0,,,,,,,,,False,False,False
spatial_7p142857142857143m,global_oracle,new_stage14_3_cold_process_rows,7.142857142857143,"{""memory_limit"": 3}",0,,,,,,,,,False,False,False
spatial_6p666666666666667m,local_sse,new_stage14_3_cold_process_rows,6.666666666666667,"{""memory_limit"": 3}",0,,,,,,,,,False,False,False
spatial_6p666666666666667m,global_oracle,new_stage14_3_cold_process_rows,6.666666666666667,"{""memory_limit"": 3}",0,,,,,,,,,False,False,False
spatial_6p25m,local_sse,new_stage14_3_cold_process_rows,6.25,"{""memory_limit"": 3}",0,,,,,,,,,False,False,False
