profile,algorithm_variant,source,requested_heading_spacing_deg,realized_heading_spacing_deg,N_psi,maximum_heading_quantization_error_deg,status_counts,successful_repetitions,T_SSE_median_s,T_Bellman_median_s,peak_rss_median_bytes,N_S_cart,N_S_active,N_E,J_A,J_D,deterministic_solution_identity,all_completed_replays_pass,all_completed_exactness_checks_pass
canonical_anchor,local_sse,reused_stage14_2c_isolated_process_rows,5.0,5.0,72,2.5,"{""completed"": 3}",3,80.96112439999706,8.658322400136967,207802368.0,3243240,1106702,29025128,7.1945895064610585,0.9999991723787202,True,True,True
heading_15deg,local_sse,reused_stage14_2c_isolated_process_rows,15.0,15.0,24,7.5,"{""completed"": 3}",3,7.132430099998601,0.1695964999817079,100061184.0,1081080,22926,64554,9.649314970197922,0.9999999937978457,True,True,True
heading_10deg,local_sse,reused_stage14_2c_isolated_process_rows,10.0,10.0,36,5.0,"{""completed"": 3}",3,17.537331599989557,1.0182494006876368,129495040.0,1621620,229792,1688327,8.8809260619725,0.9999999709805552,True,True,True
canonical_anchor,global_oracle,reused_stage14_2c_isolated_process_rows,5.0,5.0,72,2.5,"{""completed"": 3}",3,95.09966130000248,10.480958999949507,209899520.0,3243240,1106702,29025128,7.1945895064610585,0.9999991723787202,True,True,True
heading_15deg,global_oracle,reused_stage14_2c_isolated_process_rows,15.0,15.0,24,7.5,"{""completed"": 3}",3,8.9452495000005,0.2049800001695985,100827136.0,1081080,22926,64554,9.649314970197922,0.9999999937978457,True,True,True
heading_10deg,global_oracle,reused_stage14_2c_isolated_process_rows,10.0,10.0,36,5.0,"{""completed"": 3}",3,20.61576739999873,1.2381899003812578,129904640.0,1621620,229792,1688327,8.8809260619725,0.9999999709805552,True,True,True
heading_45p0deg,local_sse,new_stage14_4_isolated_process_rows,45.0,45.0,8,22.5,"{""initial_neighborhood_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_45p0deg,global_oracle,new_stage14_4_isolated_process_rows,45.0,45.0,8,22.5,"{""model_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_36p0deg,local_sse,new_stage14_4_isolated_process_rows,36.0,36.0,10,18.0,"{""initial_neighborhood_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_36p0deg,global_oracle,new_stage14_4_isolated_process_rows,36.0,36.0,10,18.0,"{""model_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_30p0deg,local_sse,new_stage14_4_isolated_process_rows,30.0,30.0,12,15.0,"{""initial_neighborhood_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_30p0deg,global_oracle,new_stage14_4_isolated_process_rows,30.0,30.0,12,15.0,"{""model_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_22p5deg,local_sse,new_stage14_4_isolated_process_rows,22.5,22.5,16,11.25,"{""initial_neighborhood_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_22p5deg,global_oracle,new_stage14_4_isolated_process_rows,22.5,22.5,16,11.25,"{""model_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_20p0deg,local_sse,new_stage14_4_isolated_process_rows,20.0,20.0,18,10.0,"{""initial_neighborhood_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_20p0deg,global_oracle,new_stage14_4_isolated_process_rows,20.0,20.0,18,10.0,"{""model_infeasible"": 3}",0,,,,,,,,,False,False,False
heading_18p0deg,local_sse,new_stage14_4_isolated_process_rows,18.0,18.0,20,9.0,"{""completed"": 3}",3,7.679022999989684,0.1851384000328835,93683712.0,900900,27994,76066,9.498467564271586,0.9999999907028562,True,True,True
heading_18p0deg,global_oracle,new_stage14_4_isolated_process_rows,18.0,18.0,20,9.0,"{""completed"": 3}",3,9.12001969999983,0.22365639981580898,93995008.0,900900,27994,76066,9.498467564271586,0.9999999907028562,True,True,True
