fit_id,sweep,algorithm_variant,independent_variable,dependent_variable,status,sample_count,c,alpha,r_squared,fit_min,fit_max,empirical_fit_only,formal_big_o_claim,extrapolation_performed
spatial__local_sse__T_total_s_vs_spatial_resolution_m,spatial,local_sse,spatial_resolution_m,T_total_s,completed,3,6947.140179234748,-1.449316158108827,0.9651239294078056,25.0,100.0,True,False,False
spatial__local_sse__T_total_s_vs_N_S_cart,spatial,local_sse,N_S_cart,T_total_s,completed,3,0.029235824179465127,0.5147958833256069,0.9605029717343772,66096.0,3243240.0,True,False,False
spatial__local_sse__T_total_s_vs_N_S_active,spatial,local_sse,N_S_active,T_total_s,completed,3,1.6239543898611895,0.2595466482101613,0.9987279058287551,461.0,1106941.0,True,False,False
spatial__local_sse__T_Bellman_s_vs_N_S_active,spatial,local_sse,N_S_active,T_Bellman_s,completed,3,0.03626444432580016,0.4036225585865061,0.9808052437956714,461.0,1106941.0,True,False,False
spatial__local_sse__T_Bellman_s_vs_N_E,spatial,local_sse,N_E,T_Bellman_s,completed,3,0.05712884271980319,0.29396411124388644,0.9539641633443436,898.0,29035732.0,True,False,False
spatial__local_sse__T_graph_s_vs_N_SB,spatial,local_sse,N_SB,T_graph_s,completed,3,0.00938536396331865,0.27370710612173216,0.9676286325597403,33192.0,79699752.0,True,False,False
spatial__local_sse__T_hazard_s_vs_N_EQ,spatial,local_sse,N_EQ,T_hazard_s,completed,3,0.0024039155393394377,0.3782916858864002,0.9088603209516405,7184.0,232285856.0,True,False,False
heading__local_sse__T_total_s_vs_heading_resolution_deg,heading,local_sse,heading_resolution_deg,T_total_s,completed,4,1784.3201547541748,-2.185728576800376,0.9980754392469398,2.5,15.0,True,False,False
heading__local_sse__T_total_s_vs_N_psi,heading,local_sse,N_psi,T_total_s,completed,4,0.004614124984119641,2.185728576800375,0.9980754392469398,24.0,144.0,True,False,False
heading__local_sse__T_Bellman_s_vs_N_S_active,heading,local_sse,N_S_active,T_Bellman_s,completed,4,4.639130078620399e-06,1.0764693077914491,0.9748377051611486,23930.0,1539631.0,True,False,False
heading__local_sse__T_Bellman_s_vs_N_E,heading,local_sse,N_E,T_Bellman_s,completed,4,0.00020409313598516172,0.6459712813790859,0.9964231462434835,66792.0,85217030.0,True,False,False
heading__local_sse__T_graph_s_vs_N_SB,heading,local_sse,N_SB,T_graph_s,completed,4,1.2585838412263137e-05,0.6597682806691675,0.9451445453062546,574320.0,221706864.0,True,False,False
heading__local_sse__T_hazard_s_vs_N_EQ,heading,local_sse,N_EQ,T_hazard_s,completed,4,0.00013145092418466266,0.5492783200442636,0.9867096786667775,534336.0,681736240.0,True,False,False
switching__local_sse__T_total_s_vs_switching_contour_spacing,switching,local_sse,switching_contour_spacing,T_total_s,completed,3,0.7419422920811511,-1.7862242933101218,0.9529555803034048,0.08333333333333333,0.16666666666666666,True,False,False
switching__local_sse__T_total_s_vs_N_C,switching,local_sse,N_C,T_total_s,completed,3,0.01808209945281738,1.7862242933101213,0.9529555803034042,48.0,96.0,True,False,False
spatial__global_oracle__T_total_s_vs_spatial_resolution_m,spatial,global_oracle,spatial_resolution_m,T_total_s,completed,4,96.33128900177819,-0.4554903736034087,0.11234157019815316,20.0,100.0,True,False,False
spatial__global_oracle__T_total_s_vs_N_S_cart,spatial,global_oracle,N_S_cart,T_total_s,completed,4,2.088917863767049,0.15737499227070922,0.10701700268093783,66096.0,6216912.0,True,False,False
spatial__global_oracle__T_total_s_vs_N_S_active,spatial,global_oracle,N_S_active,T_total_s,completed,4,1.8888534090087548,0.20894828522376982,0.4921125990894625,461.0,1106941.0,True,False,False
spatial__global_oracle__T_Bellman_s_vs_N_S_active,spatial,global_oracle,N_S_active,T_Bellman_s,completed,4,0.04159967375604026,0.3535780816804613,0.7277695646866469,461.0,1106941.0,True,False,False
spatial__global_oracle__T_Bellman_s_vs_N_E,spatial,global_oracle,N_E,T_Bellman_s,completed,4,0.05895957355034716,0.26252917934084885,0.726694234442257,898.0,29035732.0,True,False,False
spatial__global_oracle__T_graph_s_vs_N_SB,spatial,global_oracle,N_SB,T_graph_s,completed,4,0.006579449856253086,0.3132969697924974,0.7840939710825655,33192.0,79699752.0,True,False,False
spatial__global_oracle__T_hazard_s_vs_N_EQ,spatial,global_oracle,N_EQ,T_hazard_s,completed,4,0.002505475449377721,0.34994280830192404,0.7879261622025632,7184.0,232285856.0,True,False,False
heading__global_oracle__T_total_s_vs_heading_resolution_deg,heading,global_oracle,heading_resolution_deg,T_total_s,completed,4,1839.7141992716029,-2.217431120487408,0.9977440890882902,2.5,15.0,True,False,False
heading__global_oracle__T_total_s_vs_N_psi,heading,global_oracle,N_psi,T_total_s,completed,4,0.003947531841162028,2.217431120487407,0.9977440890882902,24.0,144.0,True,False,False
heading__global_oracle__T_Bellman_s_vs_N_S_active,heading,global_oracle,N_S_active,T_Bellman_s,completed,4,3.4092314173300018e-06,1.0970477787295634,0.9752545504311682,23930.0,1539631.0,True,False,False
heading__global_oracle__T_Bellman_s_vs_N_E,heading,global_oracle,N_E,T_Bellman_s,completed,4,0.00016150434277485703,0.658211275612306,0.9965197427605808,66792.0,85217030.0,True,False,False
heading__global_oracle__T_graph_s_vs_N_SB,heading,global_oracle,N_SB,T_graph_s,completed,4,1.0878994686733284e-05,0.666443366756275,0.940246858976914,574320.0,221706864.0,True,False,False
heading__global_oracle__T_hazard_s_vs_N_EQ,heading,global_oracle,N_EQ,T_hazard_s,completed,4,0.00011339266053659179,0.5544969612356283,0.9862201855680834,534336.0,681736240.0,True,False,False
switching__global_oracle__T_total_s_vs_switching_contour_spacing,switching,global_oracle,switching_contour_spacing,T_total_s,completed,3,5.849200063448856,-0.9169629360720395,0.9990446705612273,0.08333333333333333,0.16666666666666666,True,False,False
switching__global_oracle__T_total_s_vs_N_C,switching,global_oracle,N_C,T_total_s,completed,3,0.8689532863103938,0.916962936072038,0.9990446705612273,48.0,96.0,True,False,False
radius__local_sse__T_total_s_vs_r_neighbor,radius,local_sse,r_neighbor,T_total_s,completed,4,16.173116016933914,0.4261611301569581,0.7464677112012044,1.0,8.0,True,False,False
radius__local_sse__T_total_s_vs_N_eval_unique,radius,local_sse,N_eval_unique,T_total_s,completed,4,10.735555853133494,0.6093700932820051,0.806819362929919,2.0,9.0,True,False,False
radius__local_sse__T_BR_sum_s_vs_N_eval_unique,radius,local_sse,N_eval_unique,T_BR_sum_s,completed,4,9.526605973987875,0.6456528223487615,0.8095018024602918,2.0,9.0,True,False,False
