stage_source,case_id,attempted_repetitions,completed_repetitions,status_counts_json,median_total_runtime_s,median_peak_rss_bytes,median_attacker_objective,median_defender_objective,unique_solution_signature_count,all_completed_replays_pass,configuration_json
14.2,canonical-centered-cube-25m-25m-5deg-533a50c86023,3,3,"{""completed"": 3}",62.40206969999963,204320768.0,0.944086144839464,0.7814861193516704,1,True,"{""experiment_type"": ""stage14_2_smoke"", ""memory_limit_bytes"": null, ""name"": ""canonical_centered_cube_25m_25m_5deg"", ""parameters"": {""altitude_spacing_m"": 25.0, ""heading_spacing_deg"": 5.0, ""horizontal_spacing_m"": 25.0, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.01, ""sweep_variable"": ""horizontal_spacing_m"", ""timeout_s"": 300.0, ""worker_mode"": ""canonical""}"
14.2,controlled-timeout-fixture-e320451e13a7,1,0,"{""timeout"": 1}",,,,,0,False,"{""experiment_type"": ""stage14_2_smoke"", ""memory_limit_bytes"": null, ""name"": ""controlled_timeout_fixture"", ""parameters"": {""delay_s"": 2.0}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.01, ""sweep_variable"": ""delay_s"", ""timeout_s"": 0.25, ""worker_mode"": ""controlled_timeout""}"
14.2,explicit-infeasible-centered-cube-small-76403510096e,1,0,"{""model_infeasible"": 1}",,,,,0,False,"{""experiment_type"": ""stage14_2_smoke"", ""memory_limit_bytes"": null, ""name"": ""explicit_infeasible_centered_cube_small"", ""parameters"": {""switching_contour_sample_count"": 2, ""terrain_category"": ""centered_cube"", ""vehicle_and_objectives_unchanged"": true}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.01, ""sweep_variable"": ""switching_contour_sample_count"", ""timeout_s"": 30.0, ""worker_mode"": ""infeasible""}"
14.2C,global-oracle-canonical-anchor-1e73ac12d4de,3,3,"{""completed"": 3}",58.409136999998736,205864960.0,0.944086144839464,0.7814861193516704,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_baseline"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_canonical_anchor"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""baseline_anchor"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-defender-count-2-285658b91785,3,3,"{""completed"": 3}",38.42430400000012,204066816.0,0.944086144839464,0.7814861193516704,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_defender"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_defender_count_2"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 2, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""uniform_fixed_domain"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""defender_action_count"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-defender-count-3-64ce341a5ade,3,3,"{""completed"": 3}",39.52578960000028,203735040.0,0.944086144839464,0.7814861193516704,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_defender"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_defender_count_3"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""uniform_fixed_domain"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""defender_action_count"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-defender-count-5-ffd9be48790c,3,3,"{""completed"": 3}",41.74851529999978,205287424.0,0.944086144839464,0.7814861193516704,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_defender"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_defender_count_5"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 5, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""uniform_fixed_domain"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""defender_action_count"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-heading-10deg-918229a54b84,3,3,"{""completed"": 3}",11.047308399998656,127594496.0,0.952687238683972,0.7843318987084812,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_heading"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_heading_10deg"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 10.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""heading_spacing_deg"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-heading-15deg-0f610710b342,3,3,"{""completed"": 3}",4.365279999999984,99504128.0,0.9697241814714522,0.7912859636040508,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_heading"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_heading_15deg"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 15.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 25.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""heading_spacing_deg"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-spatial-100m-327244e884b8,3,3,"{""completed"": 3}",7.511610199999268,65593344.0,1.4049827579238952,0.912150500664634,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_spatial"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_spatial_100m"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 100.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""spatial_resolution_m"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
14.2C,global-oracle-spatial-50m-9d6debde9b25,3,3,"{""completed"": 3}",28.436136700000134,76431360.0,1.340553884072545,0.8938345470153469,1,True,"{""experiment_type"": ""stage14_2c_global_oracle_spatial"", ""memory_limit_bytes"": 4294967296, ""name"": ""global_oracle_spatial_50m"", ""parameters"": {""approximate_planner"": false, ""baseline_anchor"": 0, ""defender_action_count"": 3, ""defender_domain_x_max"": 7.5, ""defender_domain_x_min"": 5.0, ""defender_grid_policy"": ""canonical_three"", ""heading_spacing_deg"": 5.0, ""initial_defender_action_id"": 0, ""multi_start"": false, ""r_neighbor"": 1, ""reinforcement_learning"": false, ""spatial_resolution_m"": 50.0, ""switching_contour_sample_count"": 12, ""switching_radial_sample_count"": 8, ""terrain_category"": ""centered_cube""}, ""process_semantics"": ""fresh cold process per repetition"", ""sampling_interval_s"": 0.02, ""sweep_variable"": ""spatial_resolution_m"", ""timeout_s"": 300.0, ""worker_mode"": ""global_oracle""}"
