stage_source,experiment_type,case_id,repetition_id,status,failure_category,failure_message,declared_sweep_variable,declared_sweep_value,worker_wall_s,T_SSE_s,peak_rss_bytes,J_A,J_D,selected_defender_action_id,selected_attacker_candidate_id,trajectory_sha256,independent_replay_passed
14.2,stage14_2_smoke,canonical-centered-cube-25m-25m-5deg-533a50c86023,canonical-centered-cube-25m-25m-5deg-533a50c86023-r000,completed,,,horizontal_spacing_m,25.0,62.17963580000014,61.73973879999994,203755520,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2,stage14_2_smoke,canonical-centered-cube-25m-25m-5deg-533a50c86023,canonical-centered-cube-25m-25m-5deg-533a50c86023-r001,completed,,,horizontal_spacing_m,25.0,62.859526899999764,62.40206969999963,205860864,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2,stage14_2_smoke,canonical-centered-cube-25m-25m-5deg-533a50c86023,canonical-centered-cube-25m-25m-5deg-533a50c86023-r002,completed,,,horizontal_spacing_m,25.0,63.46398169999975,62.98233179999988,204320768,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2,stage14_2_smoke,explicit-infeasible-centered-cube-small-76403510096e,explicit-infeasible-centered-cube-small-76403510096e-r000,model_infeasible,RuntimeError,no Defender action has a feasible Attacker response,switching_contour_sample_count,2,1.3911254000004192,,44982272,,,,,,
14.2,stage14_2_smoke,controlled-timeout-fixture-e320451e13a7,controlled-timeout-fixture-e320451e13a7-r000,timeout,timeout,"parent-enforced timeout: timeout_s=0.25, memory_limit_bytes=None",delay_s,2.0,0.26878470000065136,,44093440,,,,,,
14.2C,stage14_2c_local_sse_baseline,local-sse-canonical-anchor-4f8cae874bcf,local-sse-canonical-anchor-4f8cae874bcf-r000,completed,,,baseline_anchor,0,59.75405150000006,59.35264140000072,207331328,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_local_sse_baseline,local-sse-canonical-anchor-4f8cae874bcf,local-sse-canonical-anchor-4f8cae874bcf-r001,completed,,,baseline_anchor,0,58.83594719999928,58.419353899998896,208084992,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_local_sse_baseline,local-sse-canonical-anchor-4f8cae874bcf,local-sse-canonical-anchor-4f8cae874bcf-r002,completed,,,baseline_anchor,0,59.04784499999914,58.59568979999858,205639680,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_local_sse_spatial,local-sse-spatial-100m-48fa3d04001e,local-sse-spatial-100m-48fa3d04001e-r000,completed,,,spatial_resolution_m,100.0,8.272922399999516,7.847691900000427,66641920,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
14.2C,stage14_2c_local_sse_spatial,local-sse-spatial-100m-48fa3d04001e,local-sse-spatial-100m-48fa3d04001e-r001,completed,,,spatial_resolution_m,100.0,8.287150399999518,7.873652899999797,59498496,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
