sample_index,time_fraction,time_s,x_map,y_map,z_map,los_visible,sensor_range_m,radial_velocity_mps,radar_cross_section,radar_rate_per_s,doppler_rate_per_s,total_rate_per_s,quadrature_weight_s,hazard_contribution
0,0.0,0.0,-3.0,4.0,1.0,False,900.0,-9.62962962962963,0.26732673267326734,0.0,0.0,0.0,0.140625,0.0
1,0.03125,0.28125,-3.0,4.0625,0.99375,False,902.72612298803,-9.755942827148276,0.27174521907317106,0.0,0.0,0.0,0.28125,0.0
2,0.0625,0.5625,-3.0,4.125,0.9875,False,905.4876103514614,-9.88110949276202,0.27618039798266536,0.0,0.0,0.0,0.28125,0.0
3,0.09375,0.84375,-3.0,4.1875,0.98125,False,908.2841395317877,-10.00512901687849,0.28063069367266313,0.0,0.0,0.0,0.28125,0.0
4,0.125,1.125,-3.0,4.25,0.975,False,911.1153878625912,-10.128001239695289,0.285094560005236,0.0,0.0,0.0,0.28125,0.0
5,0.15625,1.40625,-3.0,4.3125,0.96875,False,913.9810326943333,-10.249726439004293,0.2895704809956803,0.0,0.0,0.0,0.28125,0.0
6,0.1875,1.6875,-3.0,4.375,0.9625,False,916.8807515157029,-10.370305317910788,0.294056971311624,0.0,0.0,0.0,0.28125,0.0
7,0.21875,1.96875,-3.0,4.4375,0.95625,False,919.8142220715007,-10.489738992490906,0.29855257671088087,0.0,0.0,0.0,0.28125,0.0
8,0.25,2.25,-3.0,4.5,0.95,False,922.7811224770477,-10.608028979409868,0.30305587441983095,0.0,0.0,0.0,0.28125,0.0
9,0.28125,2.53125,-3.0,4.5625,0.94375,False,925.7811313291063,-10.725177183522595,0.30756547345417873,0.0,0.0,0.0,0.28125,0.0
10,0.3125,2.8125,-3.0,4.625,0.9375,False,928.8139278133161,-10.84118588547729,0.31208001488398784,0.0,0.0,0.0,0.28125,0.0
11,0.34375,3.09375,-3.0,4.6875,0.93125,False,931.8791918081442,-10.9560577293416,0.316598172044944,0.0,0.0,0.0,0.28125,0.0
12,0.375,3.375,-3.0,4.75,0.925,False,934.9766039853617,-11.069795710270032,0.32111865069783474,0.0,0.0,0.0,0.28125,0.0
13,0.40625,3.65625,-3.0,4.8125,0.91875,False,938.1058459070597,-11.182403162230239,0.32564018913825954,0.0,0.0,0.0,0.28125,0.0
14,0.4375,3.9375,-3.0,4.875,0.9125,False,941.2666001192223,-11.293883745804932,0.3301615582586107,0.0,0.0,0.0,0.28125,0.0
15,0.46875,4.21875,-3.0,4.9375,0.90625,False,944.4585502418832,-11.404241436085085,0.334681561564374,0.0,0.0,0.0,0.28125,0.0
16,0.5,4.5,-3.0,5.0,0.9,False,947.6813810558905,-11.513480510669247,0.33919903514680616,0.0,0.0,0.0,0.28125,0.0
17,0.53125,4.78125,-3.0,5.0625,0.89375,False,950.934778586313,-11.621605537782727,0.3437128476140455,0.0,0.0,0.0,0.28125,0.0
18,0.5625,5.0625,-3.0,5.125,0.8875000000000001,False,954.2184301825238,-11.728621364529623,0.3482218999827056,0.0,0.0,0.0,0.28125,0.0
19,0.59375,5.34375,-3.0,5.1875,0.8812500000000001,False,957.5320245950002,-11.834533105289538,0.3527251255319839,0.0,0.0,0.0,0.28125,0.0
20,0.625,5.625,-3.0,5.25,0.875,False,960.8752520488807,-11.939346130270216,0.35722148962230804,0.0,0.0,0.0,0.28125,0.0
21,0.65625,5.90625,-3.0,5.3125,0.86875,False,964.2478043143267,-12.043066054226186,0.36170998948050936,0.0,0.0,0.0,0.28125,0.0
22,0.6875,6.1875,-3.0,5.375,0.8625,True,967.6493747737348,-12.14569872535279,0.3661896539534889,5.4297188298510355e-06,5.594542491401248e-06,1.1024261321252284e-05,0.28125,3.100573496602205e-06
23,0.71875,6.46875,-3.0,5.4375,0.8562500000000001,True,971.0796584858525,-12.247250214364184,0.3706595432323133,5.41874995075802e-06,5.6085345985493205e-06,1.1027284549307341e-05,0.28125,3.1014237794926895e-06
24,0.75,6.75,-3.0,5.5,0.8500000000000001,True,974.5383522468472,-12.347726803762907,0.3751187485486288,5.406502182444069e-06,5.6204350469182785e-06,1.1026937229362349e-05,0.28125,3.1013260957581603e-06
25,0.78125,7.03125,-3.0,5.5625,0.84375,True,978.0251546483863,-12.447134977308119,0.3795663918452612,5.393007250070763e-06,5.6302845999259415e-06,1.1023291849996704e-05,0.28125,3.100300832811573e-06
26,0.8125,7.3125,-3.0,5.625,0.8375,True,981.5397661327838,-12.545481409688552,0.3840016254228048,5.378297453240091e-06,5.638125190357389e-06,1.101642264359748e-05,0.28125,3.0983688685117913e-06
27,0.84375,7.59375,-3.0,5.6875,0.83125,True,985.0818890452712,-12.642772956405775,0.3884236315639783,5.362405582626205e-06,5.6439997916664195e-06,1.1006405374292625e-05,0.28125,3.095551511519801e-06
28,0.875,7.875,-3.0,5.75,0.8250000000000001,True,988.6512276834536,-12.739016643872446,0.39283162213746126,5.34536483980591e-06,5.6479522937711325e-06,1.0993317133577043e-05,0.28125,3.0918704438185434e-06
