candidate_id,x_map,y_map,z_map,powered_feasible,energy_feasible,virtual_feasible,goal_reachable,feasible,mission_time_s,cumulative_hazard,detection_probability,objective,status_category,infeasibility_reason
0,3.5,0.9999999991574212,0.013089005235602079,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
1,3.5,0.9999999993586592,0.5543348442983701,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
2,3.5,0.9999999991009516,1.0955806833611383,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
3,3.5,0.999999999336412,1.6368265224239065,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
4,3.5,0.8118687585941522,1.9999999981721244,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
5,3.5,0.27062291953138257,1.9999999981721244,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
6,3.5,-0.27062291953138456,1.9999999981721241,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
7,3.5,-0.8118687585941521,1.9999999981721244,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
8,3.5,-0.9999999993364123,1.6368265224239078,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
9,3.5,-0.999999999100952,1.095580683361142,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
10,3.5,-0.9999999993586591,0.5543348442983742,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
11,3.5,-0.9999999991574212,0.013089005235606478,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
12,2.0,1.9999999983148424,0.026178010471204157,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
13,2.0,1.9999999987173185,1.1086696885967402,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
14,2.0,1.9999999982019032,2.1911613667222767,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
15,2.0,1.999999998672824,3.273653044847813,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
16,2.0,1.6237375171883044,3.9999999963442487,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
17,2.0,0.5412458390627651,3.9999999963442487,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
18,2.0,-0.5412458390627691,3.9999999963442483,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
19,2.0000000000000004,-1.6237375171883042,3.9999999963442487,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
20,2.0000000000000004,-1.9999999986728245,3.2736530448478156,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
21,2.0,-1.999999998201904,2.191161366722284,False,False,False,False,False,,,,,powered_infeasible,powered segment intersects terrain
